Number                        |Name                          |Age                           |FixSalary                     |Hour                          |HourSalary                    |Commission                    |CommissionSalary              |
0001                          |TS                            |22                            |                              |5                             |1400                          |                              |                              |
0002                          |LT                            |22                            |6000                          |                              |                              |                              |                              |
0003                          |LJ                            |23                            |                              |                              |                              |4                             |2000                          |
0004                          |HA                            |32                            |2000                          |                              |                              |3000                          |3                             |
0005                          |XS                            |22                            |                              |4                             |555                           |                              |                              |
121                           |DSA                           |1                             |                              |1                             |1                             |                              |                              |
111                           |11                            |11                            |11                            |                              |                              |                              |                              |
3232                          |22                            |22                            |22                            |                              |                              |                              |                              |
01211                         |WW                            |32                            |22                            |                              |                              |22                            |22                            |
2121                          |121                           |12                            |                              |                              |                              |12                            |12                            |
1212                          |121                           |12                            |12                            |                              |                              |12                            |12                            |
323                           |23                            |23                            |223                           |                              |                              |                              |                              |
21                            |21                            |21                            |                              |21                            |21                            |                              |                              |
311                           |EE                            |11                            |                              |11                            |11                            |                              |                              |
123                           |12                            |12                            |                              |12                            |12                            |                              |                              |
